file              min_sup     min_conf                                                                                                                                                                                            
out1_untappd.csv  0.005       0.6                                                                                                                                                                                                 
support           confidence  antecedent                                                                                                                                                                                          consequent
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Easy Jack}-{Firestone Walker Brewing Company+Pivo Pils}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Easy Jack}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Pivo Pils}-{New Belgium Brewing Company+Fat Tire}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Pivo Pils}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Pivo Pils}-{Sapporo Breweries+Sapporo Premium Beer}-{Stella Artois+Stella Artois}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Pivo Pils}-{Sierra Nevada Brewing Co.+Pale Ale}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Anchor Brewing Company+Anchor Steam Beer}-{Firestone Walker Brewing Company+Pivo Pils}-{Stella Artois+Stella Artois}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Anchor Brewing Company+Anchor Steam Beer}-{Stella Artois+Stella Artois}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Belching Beaver+Peanut Butter Milk Stout}-{Figueroa Mountain Brewing Co.+Danish Red Lager}-{Mother Earth Brew Co. (California)+Cali' Creamin'}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Belching Beaver+Peanut Butter Milk Stout}-{Mother Earth Brew Co. (California)+Cali' Creamin'}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Firestone Walker Brewing Company+Easy Jack}-{Sapporo Breweries+Sapporo Premium Beer}
0.006             0.108       {Firestone Walker Brewing Company+805 Blonde}                                                                                                                                                       {Cervecería Cuauhtémoc Moctezuma S.A. de C.V.+Dos Equis Amber}-{Sierra Nevada Brewing Co.+Pale Ale}-{Sapporo Breweries+Sapporo Premium Beer}
