id, brewery, beer
2534, BarrelHouse Brewing Co, Sour Amber Ale | Batch No. 1302
8264, BridgePort Brewing Co., Hop Czar Cascadian Dark IPA
1951, Coney Island Brewing Company, Mermaid Pilsner
3567, El Segundo Brewing Company, Blue House IPA
9514, Mt. Shasta Brewing (Weed Ales & Lagers), Skip and Go Naked
5926, SLO Brewing Company, Cali Sessions
3390, Pacific Brewing Laboratory, Nautilus
4152, Atwater Brewery, Hop-A-Peel
1343, Angel City Brewery, Angel City Pilsner
844, Tap It Brewing Co, Three On the Tree
603, Tap It Brewing Co, IPA (India Pale Ale)
3771, BrewDog, Hardcore IPA
1540, Pure Order Brewing Company, Crooked Neck
5677, Anderson Valley Brewing Company, Nettied Madge Black IPA
9021, Midland Brewing Company, Brothers IPA
8546, Strand Brewing Co., Cherry Blossom Ito-Weisse
4928, Rock Bottom Restaurant & Brewery, Ropehead
3387, Madhouse Brewing Company, Pastime Pale Ale
3860, Peak Organic Brewing Company, Fall Summit Ale
8891, Crispin Cider Company, Pacific Pear
6754, Paulaner Gruppe, Hacker-Pschorr Münchener Gold
7442, ManRock Brewing Co., Double Damnation
3195, FiftyFifty Brewing Co., Eclipse - Four Roses Single Barrel (2011)
4040, Dogfish Head Craft Brewery, Birra Etrusca Bronze
8275, Brauerei Murau, Murauer Pils
931, New Belgium Brewing Company, Le Terroir (Lips of Faith) (2014)
4007, HenHouse Brewing Company, HenHouse Oyster Stout
6726, Sierra Nevada Brewing Co., Love Tale Ale
5227, JP DasBrew, Pearle's Pilz
2185, Ballast Point Brewing & Spirits, Dorado Double IPA (w/ Watermelon)
9504, de Garde Brewing, Azacca Hose
8211, Brasseries Kronenbourg, Sélection des Brasseurs Blonde
1728, Bang The Drum Brewery, Kumquat Saison
4893, Abita Brewing Company, Amber
7959, Sante Adairius Rustic Ales, Simpleton (w/ Szechuan Pepper)
3645, Pretty Things Beer & Ale Project, Babayaga
2960, Green Flash Brewing Co., Hamilton's 7th Anniversary Junior IPA
7210, Central Waters Brewing Company, Horicon Session IPA
6876, Pyramid Breweries, Alehouse Amber Ale
3761, Monterey Coast Brewing Co, Scottish Red
1254, Eel River Brewing Co., California Blonde Ale
6807, Grand Teton Brewing, Sweetgrass APA
2045, Solvang Brewing Company, Raspberry Wheat
7936, Pyramid Breweries, Portland S.M.A.S.H
6179, Abbey Brewing Company (New Mexico), Monks' Tripel
7933, Pyramid Breweries, Draught Pale Ale
3579, Kyodo Shoji COEDO Brewery, Coedo / Ballast Point - West to East IPA
3355, Rip Current Brewing Co., Raked Over Red
2694, 21st Amendment Brewery , Personality Crisis
5277, Santa Cruz Mountain Brewing, Barrel Aged Apricot DIPA
2201, Council Brewing Company, Beatitude Mango Tart Saison
5465, The Bruery, Mash & Coconut (2014)
7890, The Good Beer Company , Apricot Oro
9114, 3 Floyds Brewing Company, Deesko!
1627, Yuengling Brewery, Traditional Lager
7320, Tempest Brewing Co, Unforgiven
5597, Dry Dock Brewing Company, Apricot Blonde
583, Barley Forge Brewing Co., Fusty Puckett
6209, Haven Brewing, Hell Ryed To Haven
626, Noble Ale Works, I Love It!
5247, JP DasBrew, Lake Elizabeth Brown Ale
2552, Bang The Drum Brewery, Barleywine
3024, House Of Pendragon Brewing Co., Arthur
3106, The Lost Abbey, Track #8: Number Of The Beast
4841, The Pike Brewing Company, Kilt Lifter
7415, DESTIHL Brewery, Lawnmower Ale
62, Firestone Walker Brewing Company, Opal
3902, Mad River Brewing Company, Jamaica Brand Sunset IPA
731, Northwest Brewing Company, Hoppy Bitch IPA
8471, Mikkeller, Santa's Little Helper (2012)
690, Elysian Brewing, Dragonstooth Stout
1917, Alosta Brewing Co., Swindler's Spice
9748, Lawson's Finest Liquids, Super Session #2
8789, Copper Kettle Brewing Company (Colorado), Summer ESB
151, Great Divide Brewing Company, Old Ruffian
3426, Dogfish Head Craft Brewery, Rhizing Bines
203, Napa Smith Brewery, Organic IPA
4862, Breakside Brewery, Dry Stout
1405, Artifex Brewing Company, Hibisc-This
6711, Berryessa Brewing Co., Sissy Strut
6056, Abita Brewing Company, Amarillo Hopped Restoration  Pale Ale
6143, Figueroa Mountain Brewing Co., Irish Stout
7867, Moylan's Brewery, Double Kilt Lifter
7725, Valiant Brewing Company, First Flight
3017, COOP Ale Works, Territorial Reserve Oak Aged Barleywine
5617, Boulder Creek Brewing Company , Dubliner Nothin'
3673, AleSmith Brewing Company, Wee Heavy (WLP041)
4182, Samuel Smith's Old Brewery, Winter Welcome Ale
3636, Magnolia Brewing Company, Spud Boys IPA
3396, Half Moon Bay Brewing Company, Mavericks Dry Irish Stout
5830, Paulaner Gruppe, Hacker-Pschorr Original Oktoberfest / Oktoberfest Märzen
1683, Cervecería Cuauhtémoc Moctezuma S.A. de C.V., Carta Blanca
9543, Widmer Brothers Brewing, Raspberry Russian Imperial Stout (2012)
6708, Craftsman Brewing Company, Heavenly Hefe
226, Klosterbrauerei Andechs, Andechser Doppelbock Dunkel
7607, Ballast Point Brewing & Spirits, Azacca Single Hop IPA W/ Burton Water Profile
289, Private Landbrauerei Schönram, Schönramer Weißbier
3004, Sierra Nevada Brewing Co., Double Dubbel
1792, Boston Beer Company (Samuel Adams), Infinium (2010)
4201, New Holland Brewing Company, Full Circle
6854, Brasserie de l'Abbaye du Val-Dieu, Val-Dieu Triple
3605, Rip Current Brewing Co., Paddling Out
2501, The Bruery, Mash
8135, Breakside Brewery, Lager
8572, Phillips Brewing Company, Slipstream
7840, Mraz Brewing Company, Coffee Pot Porter
6740, Microbrouwerij Achilles, Serafijn Christmas Angel
3321, Automatic Brewing Co., Saison De Lyla
505, Mendocino Brewing Company, Eye of the Hawk (Imperial Ale)
9573, Hollies Home, Home Girl Hefe
1387, Artifex Brewing Company, Dark Helmet
9783, Wolf Creek Brewery, Red Hawk IRA
